dim0,dim1,tissue
2.6590953,59.1796,Breast
15.1068735,-114.557556,Haematopoietic and Lymphoid
15.398805,-114.505714,Haematopoietic and Lymphoid
15.095447,-114.56795,Haematopoietic and Lymphoid
-47.135494,84.13304,Pancreas
-47.152916,84.089554,Pancreas
-47.139053,84.153404,Pancreas
52.357002,-65.67695,Control_HEK293T
48.674168,-85.76385,Control_HEK293T
60.25838,-78.45847,Control_HEK293T
60.92827,-47.323147,Peripheral Nervous System
61.266525,-47.508595,Peripheral Nervous System
61.264023,-46.899727,Peripheral Nervous System
-15.186149,-108.079666,Haematopoietic and Lymphoid
-14.645113,-107.80639,Haematopoietic and Lymphoid
-14.974552,-107.67546,Haematopoietic and Lymphoid
-16.195665,-118.647255,Haematopoietic and Lymphoid
-15.7874155,-119.03901,Haematopoietic and Lymphoid
-15.94104,-118.45884,Haematopoietic and Lymphoid
-22.212648,-137.11452,Haematopoietic and Lymphoid
-22.089993,-137.7437,Haematopoietic and Lymphoid
-22.578527,-137.41263,Haematopoietic and Lymphoid
49.14304,-59.775364,Lung
49.26231,-59.470245,Lung
49.779377,-59.632015,Lung
90.12004,-44.185654,Lung
90.02247,-43.88733,Lung
90.47553,-43.674355,Lung
84.536156,-9.951781,Breast
83.82266,-10.063842,Breast
83.83985,-10.635709,Breast
4.3639235,-36.849617,Skin
4.35738,-36.514984,Skin
5.0069804,-36.506184,Skin
-17.903795,93.552505,Lung
-17.231956,93.007355,Lung
-17.804934,92.88345,Lung
38.73941,-70.56328,Control_HEK293T
41.587753,-72.13642,Control_HEK293T
127.9052,39.86562,Control_HEK293T
147.46468,42.82491,Control_HEK293T
137.56479,19.115215,Control_HEK293T
123.86296,22.847979,Control_HEK293T
155.2067,33.714302,Control_HEK293T
60.75635,-82.194176,Control_HEK293T
61.129337,-47.197056,Peripheral Nervous System
61.130157,-47.186386,Peripheral Nervous System
61.123127,-47.1917,Peripheral Nervous System
-14.906092,-107.91637,Haematopoietic and Lymphoid
-14.90412,-107.905266,Haematopoietic and Lymphoid
-14.905865,-107.91037,Haematopoietic and Lymphoid
-15.918101,-118.65567,Haematopoietic and Lymphoid
-15.920791,-118.65909,Haematopoietic and Lymphoid
-15.925799,-118.66322,Haematopoietic and Lymphoid
-22.359121,-137.36958,Haematopoietic and Lymphoid
-22.36718,-137.37843,Haematopoietic and Lymphoid
-22.362122,-137.37979,Haematopoietic and Lymphoid
49.316288,-59.541866,Lung
49.316853,-59.542614,Lung
49.30663,-59.49662,Lung
90.04084,-43.827118,Lung
90.05052,-43.827976,Lung
90.020515,-43.798553,Lung
84.49496,-10.5055065,Breast
84.1558,-10.380955,Breast
84.16302,-10.417782,Breast
4.477124,-36.575928,Skin
4.486096,-36.575443,Skin
4.4675145,-36.56796,Skin
-17.552034,93.19727,Lung
-17.557081,93.19104,Lung
-17.570044,93.19374,Lung
35.10641,-65.17168,Control_HEK293T
50.666042,-82.95134,Control_HEK293T
122.91226,33.375355,Control_HEK293T
124.94048,29.88823,Control_HEK293T
148.15659,20.30606,Control_HEK293T
-24.86095,20.111153,Lung
-24.878668,20.12391,Lung
-24.864765,20.107462,Lung
-32.094,12.428833,Skin
-32.09892,12.435234,Skin
-32.091854,12.421741,Skin
69.12299,-52.19663,Lung
69.13689,-52.191223,Lung
69.14448,-52.19414,Lung
-5.862093,-130.09816,Haematopoietic and Lymphoid
-5.8611345,-130.12865,Haematopoietic and Lymphoid
-5.846932,-130.13245,Haematopoietic and Lymphoid
-5.899691,78.088615,Breast
-5.9060493,78.09668,Breast
-5.906419,78.095695,Breast
-16.189478,-134.20325,Haematopoietic and Lymphoid
-16.18878,-134.20648,Haematopoietic and Lymphoid
-16.204548,-134.20943,Haematopoietic and Lymphoid
62.981827,-54.056095,Other tissue
62.983044,-54.056908,Other tissue
62.957893,-54.044067,Other tissue
-83.65622,80.44459,Ovary
-83.66061,80.44009,Ovary
-83.6596,80.44584,Ovary
-30.29846,-134.41895,Haematopoietic and Lymphoid
-30.471312,-134.76591,Haematopoietic and Lymphoid
-30.430124,-134.62688,Haematopoietic and Lymphoid
15.214558,78.30856,Large Intestine
15.202776,78.30791,Large Intestine
15.210251,78.31674,Large Intestine
36.139416,-75.67647,Control_HEK293T
59.706257,-85.86742,Control_HEK293T
155.34755,30.834698,Control_HEK293T
124.92026,29.885088,Control_HEK293T
130.61006,36.579983,Control_HEK293T
-35.84996,15.362596,Soft Tissue
-35.843502,15.370302,Soft Tissue
-35.837234,15.367205,Soft Tissue
-21.317936,-128.74606,Haematopoietic and Lymphoid
-21.328197,-128.74428,Haematopoietic and Lymphoid
-21.325377,-128.7128,Haematopoietic and Lymphoid
-39.92395,14.438264,Liver
-39.898884,14.442938,Liver
-39.914143,14.437749,Liver
6.26371,-127.29338,Haematopoietic and Lymphoid
6.2558684,-127.28046,Haematopoietic and Lymphoid
6.259997,-127.297585,Haematopoietic and Lymphoid
-24.82895,19.94516,Lung
-25.02419,20.180092,Lung
-24.49826,20.366163,Lung
-7.04287,-126.48561,Haematopoietic and Lymphoid
-7.0317454,-126.48361,Haematopoietic and Lymphoid
